id,mode,answer_provider,answer_model_name,verifier_provider,verifier_model_name,predicted_letter,correct_letter,is_correct,hallucination_label,hallucination_reason
45258d3d-b974-44dd-a161-c3fccbdadd88,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,A,A,True,,
b944ada9-d776-4c2a-9180-3ae5f393f72d,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,A,A,True,,
b64a9cd7-d076-4c55-8be1-f9c44fece6cc,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,C,C,True,,
c6365cce-507c-40f6-90a2-46b867f47b6e,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,C,C,True,,
72c1c5e0-b64f-4eef-bf22-ecfb60c5c19c,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,A,A,True,,
17360c6c-2c98-4fe2-aa85-487dcf4678df,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,A,A,True,,
62fa6f78-1964-4249-974b-6fcbbd7fc9ba,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,A,A,True,,
ce49098b-cc48-4168-859e-936e3e0c7459,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,B,B,True,,
18d5c4a1-cb81-41a8-9bfc-b6f7dec431d2,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,B,B,True,,
de09d388-bd4e-42a9-ac6b-ee2d95f822e2,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,A,B,False,FACTUAL_ERROR,"```json
{
  ""label"": """",
  ""reason"": ""The model chose Ebstein's anomaly, which is characterized by marked cardiomegaly. However, the question explicitly states 'normal sized heart'. This is a direct factual contradiction between the chosen diagnosis and the clinical findings provided in the question.""
}
```"
384a9281-2ee1-480b-a7d8-fd3ef49558e5,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,B,B,True,,
ae860b65-53a5-4547-b627-494174e15c3c,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,A,A,True,,
84d89a4f-db04-402d-88ab-ca39f6eee8bd,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,B,B,True,,
b1cc4ab0-a82c-437a-88c2-00953f3618ff,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,A,A,True,,
f184a533-98b4-43ad-b1f5-70edc6704d9e,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,A,A,True,,
26160738-1887-4252-86d4-1719a5a80bd3,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,B,B,True,,
6ccd8adb-af24-4e58-82a1-9219dfa37057,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,A,A,True,,
e38402c3-69bf-40a8-90c4-09277ca352eb,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,D,D,True,,
9078aaca-bbfd-41cd-ad69-03057fca84ba,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,A,A,True,,
ac6be140-880b-40c6-9855-01f30c8dd7b2,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,D,A,False,FACTUAL_ERROR,"```json
{
  ""label"": """",
  ""reason"": ""The model incorrectly identifies calcium hydroxide as the direct source of calcium ions for the calcific bridge. While calcium hydroxide stimulates the formation of the bridge, the calcium ions incorporated into the newly formed biological tissue are derived from the patient's systemic circulation, delivered via blood vessels.""
}
```"
7111d7b2-7e80-4e23-b5d0-9f42595c6a80,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,B,B,True,,
406b5b4f-9ad4-42c0-9669-12d038df4ac8,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,D,C,False,FACTUAL_ERROR,"```json
{
  ""label"": """",
  ""reason"": ""The model incorrectly chose 'Mask with reservoir' (80-90% O2) as delivering the highest concentration of oxygen. The correct answer, 'Bag and mask', delivers 100% O2. This demonstrates a factual inaccuracy regarding the maximum oxygen delivery capabilities of the devices.""
}
```"
8d2e7fe2-3354-44c2-8cdf-55ff23caaebb,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,A,A,True,,
7f0270fd-7d45-43ec-b77e-0038115bb845,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,A,A,True,,
8b9a0e04-4281-418a-aa94-7414a325732f,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,A,D,False,FACTUAL_ERROR,"```json
{
  ""label"": """",
  ""reason"": ""The model incorrectly identifies a lip line opposite the tips of the upper incisors as 'Average'. In dental and orthodontic contexts, this specific position, where the lip line covers the incisal tips, is factually classified as 'Low', not 'Average'.""
}
```"
a3da135a-a6a2-4e1c-8823-8ab0913f5668,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,B,B,True,,
7751b7ed-6aa4-4b9a-a03c-bb991a2936db,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,A,A,True,,
159339f1-1545-47f6-9aad-47c1282458b4,no_rag,gemini,gemini-2.5-flash,gemini,gemini-2.5-flash,A,D,False,FACTUAL_ERROR,"```json
{
  ""label"": """",
  ""reason"": ""The model incorrectly identified 'Removal of week enamel rods' (Option A) as the false statement. In dental cavity preparation, the removal of unsupported or 'weak' enamel rods is a standard and true principle to prevent fracture and ensure margin integrity. The model made a factual error by selecting a true statement as the exception.""
}
```"
